in_0,in_1,out_2,out_3,out_4,out_5
1.772335463948226,3.566508827796472,0.0,5.338844291744698,0.0,0.0
4.230858361599287,4.051566559749713,0.0,8.282424921349,0.0,0.0
3.6350899793339044,4.604772671513578,0.0,8.239862650847481,0.0,0.0
1.558619898031206,2.171832945552064,0.0,3.73045284358327,0.0,0.0
4.1739588376090255,2.462229114793022,0.0,6.6361879524020475,0.0,0.0
1.9004402506914095,3.0902248308266107,0.0,4.990665081518021,0.0,0.0
1.6371277717943271,3.602176080016741,0.0,5.2393038518110675,0.0,0.0
1.2234944331836317,2.5947016879696063,0.0,3.818196121153238,0.0,0.0
1.5514763399900122,3.2872770510644918,0.0,4.838753391054504,0.0,0.0
3.758284944520805,1.2729587871781614,0.0,5.031243731698966,0.0,0.0
2.6656715929819357,4.9961096913371925,0.0,7.661781284319128,0.0,0.0
4.789047112681613,2.862153949480174,0.0,7.651201062161787,0.0,0.0
1.1569823114011326,3.1071617159054292,0.0,4.264144027306562,0.0,0.0
3.514008657906073,2.8480458367267345,0.0,6.362054494632808,0.0,0.0
1.9483330831777144,3.5469942594338293,0.0,5.495327342611544,0.0,0.0
2.0119148027735743,2.431429029284006,0.0,4.443343832057581,0.0,0.0
3.7669582426647175,1.649449498798988,0.0,5.416407741463706,0.0,0.0
4.201828804071994,2.0088113426752248,0.0,6.2106401467472185,0.0,0.0
3.79541012846569,3.1501816876776343,0.0,6.945591816143324,0.0,0.0
4.445724017464695,1.1688381689238678,0.0,5.614562186388563,0.0,0.0
1.996668891470506,4.643106844396524,0.0,6.63977573586703,0.0,0.0
3.279919441492047,2.1358804151640753,0.0,5.415799856656122,0.0,0.0
3.8979570532435126,2.271397461527089,0.0,6.1693545147706015,0.0,0.0
2.715083365072505,2.237588830981411,0.0,4.952672196053916,0.0,0.0
2.6268629110793986,2.0538229852686043,0.0,4.6806858963480025,0.0,0.0
1.1330598538495367,3.094070923486911,0.0,4.2271307773364475,0.0,0.0
4.715882776028208,4.928922112624212,0.0,9.64480488865242,0.0,0.0
3.8941257106913785,4.104577687795761,0.0,7.998703398487139,0.0,0.0
3.8875986952108375,4.944128490842228,0.0,8.831727186053065,0.0,0.0
2.2384544232648413,1.8021945227169138,0.0,4.040648945981755,0.0,0.0
2.931651379630888,2.3744248901709564,0.0,5.306076269801844,0.0,0.0
1.2929339862796936,3.2713825764956805,0.0,4.564316562775375,0.0,0.0
3.854204371527584,2.711577648644753,0.0,6.565782020172337,0.0,0.0
3.0026497762422886,3.06190655220189,0.0,6.064556328444178,0.0,0.0
3.5422414255459276,4.553933747195822,0.0,8.09617517274175,0.0,0.0
4.005276019951946,1.2027428629753452,0.0,5.208018882927291,0.0,0.0
1.364008118420367,3.235688748852182,0.0,4.599696867272549,0.0,0.0
4.05170433475586,2.672515025276077,0.0,6.724219360031937,0.0,0.0
2.2785949756498773,1.8325894826668443,0.0,4.111184458316721,0.0,0.0
4.731303527802646,3.8197291207285238,0.0,8.55103264853117,0.0,0.0
3.098884138867299,3.674021637272448,0.0,6.772905776139747,0.0,0.0
1.6819741069899514,3.5153316731436615,0.0,5.197305780133613,0.0,0.0
1.4745546868936987,4.611499805977487,0.0,6.0860544928711855,0.0,0.0
4.4342190671208215,4.771768851332581,0.0,9.205987918453403,0.0,0.0
4.5405465049903135,4.996354316525727,0.0,9.53690082151604,0.0,0.0
1.7473479246646773,4.7851033280698365,0.0,6.532451252734514,0.0,0.0
1.8620290869642564,1.8254330609046354,0.0,3.687462147868892,0.0,0.0
1.9585284453111185,4.404992089676177,0.0,6.363520534987295,0.0,0.0
2.4190013089341442,3.022964542194375,0.0,5.441965851128519,0.0,0.0
2.937958116273521,2.6345783033737176,0.0,5.572536419647239,0.0,0.0
4.079442641000876,1.5798297294107329,0.0,5.659272370411609,0.0,0.0
2.354224941967357,2.634800647886769,0.0,4.989025589854126,0.0,0.0
3.300386769034496,4.712083511995253,0.0,8.01247028102975,0.0,0.0
4.607758942643616,1.1809374597336015,0.0,5.788696402377218,0.0,0.0
1.907920560837245,3.317392669833222,0.0,5.2253132306704675,0.0,0.0
2.259764476664299,2.903742991125903,0.0,5.163507467790202,0.0,0.0
2.4372899522495213,4.114675773783182,0.0,6.551965726032703,0.0,0.0
4.573336858634807,1.4723863687111574,0.0,6.045723227345965,0.0,0.0
3.2412354300746675,1.2523279961922995,0.0,4.493563426266967,0.0,0.0
3.994276345798746,1.4142246256289326,0.0,5.408500971427678,0.0,0.0
3.8542868221070083,3.8350011055578523,0.0,7.689287927664861,0.0,0.0
4.018452939682408,1.9820547459910385,0.0,6.000507685673447,0.0,0.0
2.741722376079527,3.0112344611024993,0.0,5.752956837182026,0.0,0.0
2.4755476146868185,4.141316385431402,0.0,6.616864000118221,0.0,0.0
4.08930902292502,3.329322984942741,0.0,7.418632007867761,0.0,0.0
2.5018009921766935,3.497647683234361,0.0,5.999448675411054,0.0,0.0
1.209899244362552,4.774006731326754,0.0,5.983905975689305,0.0,0.0
2.5284177334510343,3.2199221656419175,0.0,5.748339899092952,0.0,0.0
1.5391278058077784,3.9819668403116317,0.0,5.52109464611941,0.0,0.0
3.1197359319809275,3.178990013353856,0.0,6.298725945334784,0.0,0.0
4.910880405286209,4.5894534550299255,0.0,9.500333860316134,0.0,0.0
2.543410509775794,1.258176341444516,0.0,3.80158685122031,0.0,0.0
1.4853207786616358,3.6422538635101875,0.0,5.127574642171823,0.0,0.0
2.5009732810336036,3.690948603868846,0.0,6.19192188490245,0.0,0.0
3.4221427671047264,2.6123009828795483,0.0,6.034443749984275,0.0,0.0
2.875849522591473,3.3834987149956812,0.0,6.2593482375871545,0.0,0.0
1.871777121862912,4.030323786112583,0.0,5.902100907975495,0.0,0.0
4.558728005585072,3.1289384957635415,0.0,7.687666501348614,0.0,0.0
4.763166241092765,4.9573477557299395,0.0,9.720513996822705,0.0,0.0
3.351145484973379,1.5544132541578173,0.0,4.905558739131196,0.0,0.0
4.935549380112878,4.414154236084974,0.0,9.349703616197852,0.0,0.0
1.0149479542978246,2.8478830230214793,0.0,3.862830977319304,0.0,0.0
4.264607356076976,4.1359098239834395,0.0,8.400517180060415,0.0,0.0
2.5332781820461494,4.462146577682047,0.0,6.995424759728197,0.0,0.0
1.845742702100436,1.0273317767976833,0.0,2.8730744788981193,0.0,0.0
1.4181030899086813,4.726394991847402,0.0,6.144498081756083,0.0,0.0
4.27073217820992,1.621891641702975,0.0,5.892623819912895,0.0,0.0
2.81217730495706,1.0491830074550705,0.0,3.8613603124121307,0.0,0.0
2.485912863490703,1.6771336618574755,0.0,4.163046525348179,0.0,0.0
2.4478105701988317,1.73903275918178,0.0,4.186843329380611,0.0,0.0
2.476706257666877,4.474407311139018,0.0,6.951113568805894,0.0,0.0
1.113096175100595,2.288490892326524,0.0,3.401587067427119,0.0,0.0
3.9557184879811174,2.694086536552676,0.0,6.649805024533793,0.0,0.0
4.390798278533044,1.7899708624595303,0.0,6.180769140992574,0.0,0.0
4.95618689718764,3.478513268456054,0.0,8.434700165643694,0.0,0.0
1.3376129175152163,3.572202712547309,0.0,4.909815630062525,0.0,0.0
2.021140067022887,4.421375474206654,0.0,6.442515541229541,0.0,0.0
4.13389407127094,3.0252955556500662,0.0,7.159189626921006,0.0,0.0
3.2195090758595897,2.8745034316572022,0.0,6.094012507516792,0.0,0.0
1.6714874864571097,4.799640436189389,0.0,6.471127922646499,0.0,0.0
4.317974731657626,2.0911454854791196,0.0,6.409120217136746,0.0,0.0
2.522155864508757,2.2656859811237946,0.0,4.787841845632552,0.0,0.0
2.0220024498373186,4.132126970285638,0.0,6.154129420122956,0.0,0.0
2.4136124377372554,3.6817788088555994,0.0,6.095391246592855,0.0,0.0
4.417865401557469,2.4288302700892674,0.0,6.846695671646737,0.0,0.0
3.0214874287595017,3.8583045471140527,0.0,6.879791975873554,0.0,0.0
1.4214972829491113,2.991851891481129,0.0,4.41334917443024,0.0,0.0
2.8925604337738626,4.3506341998316405,0.0,7.243194633605503,0.0,0.0
4.805717817151377,4.1664836466143855,0.0,8.972201463765764,0.0,0.0
2.528806622351183,3.001954356641706,0.0,5.530760978992889,0.0,0.0
2.3580368669273373,2.9490091378578116,0.0,5.307046004785149,0.0,0.0
1.0940932141904023,4.303940974659052,0.0,5.398034188849454,0.0,0.0
4.708461451258654,4.291276817188695,0.0,8.999738268447349,0.0,0.0
1.1262907816800083,4.31204272128179,0.0,5.4383335029617985,0.0,0.0
3.559450338692096,1.5727862890210136,0.0,5.13223662771311,0.0,0.0
3.5898198989725367,2.141839996688778,0.0,5.7316598956613145,0.0,0.0
4.101926162786029,4.498692670488614,0.0,8.600618833274643,0.0,0.0
4.466044077595269,2.351375952398441,0.0,6.81742002999371,0.0,0.0
2.5181218281339617,2.9941868017076314,0.0,5.512308629841593,0.0,0.0
3.245370779581418,2.0385640997547037,0.0,5.283934879336122,0.0,0.0
1.3611990771870084,3.135603358595901,0.0,4.496802435782909,0.0,0.0
3.2536602617181107,4.712888300092484,0.0,7.966548561810594,0.0,0.0
3.308779481055593,1.8285404653294624,0.0,5.137319946385055,0.0,0.0
3.826347796422928,1.4267118203884346,0.0,5.253059616811363,0.0,0.0
3.7126246829510205,2.299490012888118,0.0,6.012114695839139,0.0,0.0
3.4895890554834224,1.7886560084713343,0.0,5.278245063954756,0.0,0.0
1.3687746706333717,4.8019554172725485,0.0,6.17073008790592,0.0,0.0
2.817161343290265,3.4694657332644083,0.0,6.286627076554673,0.0,0.0
1.8394004275929254,2.299980303714798,0.0,4.139380731307723,0.0,0.0
2.305039734474113,3.1529694536263837,0.0,5.458009188100497,0.0,0.0
4.413162024010464,2.3628824569350537,0.0,6.776044480945517,0.0,0.0
1.2256618633291403,3.4801738734153997,0.0,4.70583573674454,0.0,0.0
2.7885220332519136,4.697734461287414,0.0,7.486256494539328,0.0,0.0
4.978330777640038,2.39223061151466,0.0,7.370561389154698,0.0,0.0
1.7898454476691477,1.476514918914603,0.0,3.2663603665837506,0.0,0.0
1.575549329742005,2.275098260146297,0.0,3.8506475898883017,0.0,0.0
3.160954675528197,3.0479716381395114,0.0,6.208926313667709,0.0,0.0
1.5368468863368063,2.3967885264596926,0.0,3.933635412796499,0.0,0.0
3.5391677673880793,1.1076037077080594,0.0,4.646771475096139,0.0,0.0
